127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.033388
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.005938
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.007990
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.026317
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.027325
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.029610
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.031771
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.008074
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.006387
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.013770
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001730
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/static/js/jquery.js, HTTP/1.1, 200, 0.001630
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000802
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/static/js/web2py.js, HTTP/1.1, 200, 0.002446
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002196
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/static/js/calendar.js, HTTP/1.1, 200, 0.002969
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000852
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/static/css/calendar.css, HTTP/1.1, 200, 0.001050
127.0.0.1, 2018-10-26 19:07:44, GET, /handyhouse/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001626
127.0.0.1, 2018-10-26 19:07:45, GET, /handyhouse/static/images/background.jpg, HTTP/1.1, 404, 0.000248
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.014171
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000699
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/js/jquery.js, HTTP/1.1, 200, 0.001232
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001507
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/js/web2py.js, HTTP/1.1, 200, 0.000832
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/js/calendar.js, HTTP/1.1, 200, 0.001107
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/css/calendar.css, HTTP/1.1, 200, 0.001545
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001279
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000558
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001134
127.0.0.1, 2018-10-26 19:07:46, GET, /handyhouse/static/images/background.jpg, HTTP/1.1, 404, 0.000162
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.011163
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000276
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/js/calendar.js, HTTP/1.1, 200, 0.000522
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002503
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/css/calendar.css, HTTP/1.1, 200, 0.000930
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001051
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/js/web2py.js, HTTP/1.1, 200, 0.002488
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/js/jquery.js, HTTP/1.1, 200, 0.001798
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003190
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000628
127.0.0.1, 2018-10-26 19:07:48, GET, /handyhouse/static/images/background.jpg, HTTP/1.1, 404, 0.000159
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.010090
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000696
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/js/calendar.js, HTTP/1.1, 200, 0.001317
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/js/jquery.js, HTTP/1.1, 200, 0.001944
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/js/web2py.js, HTTP/1.1, 200, 0.001528
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000701
127.0.0.1, 2018-10-26 19:08:16, GET, /handyhouse/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001637
